iter	Passed	Remaining
400	30283	45236
401	30358	45160
402	30434	45085
403	30517	45020
404	30598	44953
405	30674	44878
406	30753	44807
407	30833	44738
408	30912	44668
409	30989	44594
410	31063	44516
411	31145	44449
412	31241	44404
413	31332	44350
414	31422	44294
415	31499	44220
416	31572	44140
417	31648	44065
418	31724	43990
419	31802	43918
420	31874	43837
421	31948	43759
422	32027	43686
423	32106	43616
424	32185	43544
425	32261	43469
426	32335	43392
427	32411	43315
428	32490	43244
429	32562	43164
430	32641	43093
431	32728	43031
432	32817	42973
433	32907	42916
434	32998	42860
435	33087	42801
436	33167	42730
437	33247	42659
438	33325	42586
439	33403	42513
440	33503	42467
441	33595	42412
442	33678	42345
443	33757	42272
444	33835	42199
445	33913	42125
446	33992	42053
447	34068	41977
448	34146	41903
449	34223	41828
450	34304	41759
451	34382	41684
452	34462	41613
453	34540	41540
454	34619	41467
455	34697	41394
456	34780	41326
457	34857	41250
458	34935	41176
459	35015	41105
460	35090	41028
461	35166	40951
462	35242	40875
463	35322	40803
464	35401	40730
465	35480	40658
466	35557	40582
467	35636	40509
468	35707	40427
469	35778	40346
470	35857	40272
471	35936	40199
472	36016	40128
473	36095	40055
474	36170	39978
475	36258	39915
476	36349	39854
477	36440	39794
478	36533	39737
479	36622	39674
480	36712	39613
481	36817	39567
482	36925	39525
483	37009	39456
484	37086	39379
485	37166	39308
486	37242	39230
487	37323	39159
488	37418	39102
489	37513	39044
490	37606	38984
491	37702	38928
492	37794	38867
493	37885	38805
494	37979	38746
495	38071	38685
496	38167	38628
497	38258	38565
498	38349	38503
499	38444	38444
500	38533	38379
501	38614	38306
502	38699	38238
503	38779	38164
504	38864	38095
505	38942	38018
506	39016	37939
507	39096	37865
508	39175	37789
509	39258	37718
510	39338	37645
511	39412	37564
512	39494	37492
513	39579	37423
514	39661	37351
515	39751	37286
516	39829	37210
517	39909	37136
518	39990	37062
519	40067	36985
520	40141	36905
521	40219	36829
522	40296	36752
523	40371	36673
524	40448	36595
525	40528	36521
526	40609	36448
527	40691	36375
528	40767	36297
529	40845	36221
530	40925	36147
531	41005	36072
532	41082	35995
533	41164	35922
534	41244	35847
535	41340	35787
536	41433	35723
537	41529	35663
538	41641	35615
539	41763	35576
540	41853	35509
541	41933	35434
542	42011	35357
543	42085	35277
544	42164	35201
545	42244	35126
546	42323	35050
547	42403	34975
548	42477	34894
549	42559	34821
550	42639	34745
551	42722	34673
552	42809	34603
553	42894	34532
554	42987	34467
555	43083	34404
556	43178	34341
557	43272	34276
558	43354	34203
559	43430	34123
560	43510	34048
561	43589	33971
562	43670	33896
563	43751	33821
564	43832	33747
565	43904	33665
566	43986	33591
567	44066	33515
568	44151	33443
569	44244	33377
570	44339	33312
571	44433	33247
572	44526	33181
573	44609	33107
574	44693	33034
575	44773	32958
576	44852	32881
577	44933	32806
578	45011	32728
579	45092	32653
580	45174	32578
581	45255	32503
582	45335	32427
583	45413	32349
584	45495	32274
585	45575	32198
586	45651	32119
587	45732	32044
588	45821	31973
589	45904	31899
590	45983	31822
591	46062	31746
592	46142	31669
593	46225	31595
594	46303	31517
595	46388	31444
596	46471	31370
597	46552	31294
598	46635	31220
599	46716	31144
600	46798	31069
601	46884	30996
602	46967	30921
603	47061	30854
604	47190	30810
605	47291	30747
606	47372	30671
607	47450	30592
608	47534	30518
609	47614	30442
610	47700	30369
611	47780	30292
612	47852	30210
613	47927	30130
614	48001	30049
615	48070	29966
616	48143	29884
617	48210	29800
618	48280	29717
619	48351	29634
620	48427	29555
621	48503	29476
622	48576	29395
623	48651	29315
624	48746	29247
625	48846	29182
626	48925	29105
627	48997	29024
628	49071	28943
629	49143	28862
630	49214	28779
631	49286	28698
632	49356	28615
633	49431	28536
634	49506	28456
635	49578	28375
636	49652	28294
637	49728	28215
638	49801	28135
639	49883	28059
640	49956	27978
641	50032	27899
642	50111	27822
643	50184	27741
644	50257	27660
645	50332	27581
646	50413	27505
647	50486	27424
648	50560	27344
649	50629	27262
650	50700	27180
651	50771	27098
652	50845	27019
653	50916	26937
654	50991	26858
655	51064	26777
656	51148	26702
657	51240	26632
658	51340	26566
659	51448	26503
660	51573	26449
661	51672	26382
662	51756	26307
663	51842	26233
664	51929	26159
665	52011	26084
666	52083	26002
667	52156	25922
668	52227	25840
669	52298	25759
670	52374	25679
671	52445	25598
672	52523	25520
673	52607	25445
674	52687	25368
675	52761	25288
676	52831	25206
677	52908	25127
678	52983	25048
679	53056	24967
680	53132	24888
681	53204	24807
682	53275	24726
683	53353	24648
684	53426	24568
685	53499	24487
686	53572	24407
687	53647	24328
688	53720	24248
689	53792	24167
690	53861	24085
691	53935	24005
692	54009	23926
693	54086	23848
694	54161	23768
695	54235	23689
696	54307	23608
697	54382	23529
698	54457	23450
699	54540	23374
700	54617	23296
701	54697	23219
702	54785	23145
703	54873	23071
704	54962	22998
705	55045	22922
706	55119	22842
707	55196	22764
708	55271	22685
709	55378	22619
710	55457	22541
711	55531	22462
712	55605	22382
713	55681	22303
714	55757	22224
715	55830	22145
716	55903	22065
717	55980	21986
718	56086	21919
719	56159	21839
720	56228	21758
721	56304	21679
722	56375	21598
723	56447	21518
724	56519	21438
725	56595	21359
726	56672	21281
727	56752	21204
728	56831	21126
729	56915	21050
730	56997	20974
731	57068	20894
732	57144	20815
733	57218	20736
734	57290	20655
735	57364	20576
736	57437	20496
737	57513	20418
738	57582	20336
739	57654	20257
740	57729	20178
741	57800	20097
742	57874	20018
743	57950	19939
744	58024	19860
745	58101	19782
746	58177	19704
747	58252	19625
748	58324	19545
749	58394	19464
750	58476	19388
751	58546	19308
752	58621	19229
753	58696	19150
754	58771	19071
755	58846	18992
756	58920	18913
757	58992	18834
758	59066	18754
759	59138	18675
760	59215	18597
761	59284	18516
762	59360	18438
763	59433	18359
764	59509	18280
765	59588	18203
766	59671	18127
767	59751	18049
768	59826	17971
769	59900	17892
770	59972	17812
771	60045	17733
772	60119	17654
773	60193	17575
774	60272	17498
775	60356	17422
776	60436	17345
777	60507	17265
778	60580	17186
779	60652	17107
780	60729	17029
781	60802	16949
782	60877	16871
783	60955	16793
784	61027	16714
785	61103	16636
786	61174	16556
787	61249	16478
788	61326	16400
789	61400	16321
790	61476	16243
791	61547	16164
792	61624	16086
793	61699	16007
794	61772	15928
795	61846	15850
796	61922	15771
797	61996	15693
798	62072	15615
799	62148	15537
800	62221	15458
801	62294	15379
802	62371	15301
803	62447	15223
804	62519	15144
805	62592	15065
806	62669	14987
807	62743	14909
808	62820	14831
809	62898	14753
810	62974	14675
811	63046	14596
812	63125	14519
813	63218	14445
814	63310	14371
815	63397	14295
816	63480	14219
817	63567	14143
818	63642	14065
819	63722	13987
820	63789	13907
821	63863	13829
822	63935	13750
823	64011	13672
824	64085	13593
825	64160	13515
826	64235	13437
827	64311	13359
828	64384	13280
829	64460	13202
830	64536	13124
831	64608	13045
832	64688	12968
833	64770	12891
834	64844	12813
835	64917	12735
836	64991	12656
837	65067	12578
838	65140	12500
839	65216	12422
840	65291	12343
841	65369	12266
842	65440	12187
843	65514	12109
844	65588	12031
845	65660	11952
846	65739	11875
847	65816	11797
848	65889	11718
849	65964	11640
850	66037	11562
851	66114	11484
852	66191	11406
853	66276	11330
854	66344	11251
855	66435	11176
856	66520	11099
857	66596	11021
858	66674	10944
859	66746	10865
860	66817	10786
861	66893	10709
862	66981	10633
863	67079	10558
864	67170	10483
865	67258	10407
866	67345	10330
867	67437	10255
868	67525	10179
869	67613	10103
870	67696	10026
871	67785	9950
872	67871	9873
873	67956	9796
874	68037	9719
875	68113	9641
876	68192	9564
877	68269	9486
878	68345	9408
879	68446	9333
880	68537	9257
881	68612	9179
882	68688	9101
883	68765	9023
884	68842	8945
885	68919	8867
886	68997	8789
887	69075	8712
888	69149	8633
889	69228	8556
890	69304	8478
891	69378	8400
892	69449	8321
893	69526	8243
894	69599	8165
895	69674	8087
896	69752	8009
897	69828	7931
898	69900	7853
899	69979	7775
900	70054	7697
901	70130	7619
902	70204	7541
903	70280	7463
904	70355	7385
905	70431	7307
906	70508	7229
907	70580	7151
908	70659	7073
909	70735	6995
910	70811	6917
911	70887	6840
912	70968	6762
913	71043	6684
914	71125	6607
915	71202	6529
916	71278	6451
917	71358	6374
