iter	Logloss
0	0.6864227688
1	0.6804196743
2	0.6749563118
3	0.6703913478
4	0.6660131394
5	0.6618784542
6	0.6584382193
7	0.6553122362
8	0.6521854378
9	0.6496405798
10	0.6473330387
11	0.6451099577
12	0.643259055
13	0.6415754096
14	0.6400008062
15	0.6386292011
16	0.6371987532
17	0.6357860588
18	0.6347307408
19	0.6337818559
20	0.632853781
21	0.6320531015
22	0.6304612568
23	0.6289189097
24	0.627545349
25	0.627020556
26	0.6261999701
27	0.6252736082
28	0.6250197715
29	0.6245639201
30	0.62421098
31	0.6231843564
32	0.6228996727
33	0.6225685054
34	0.6217616666
35	0.6215276496
36	0.6211214897
37	0.6204650359
38	0.620223081
39	0.6199485394
40	0.6195493438
41	0.6193673428
42	0.6187574091
43	0.6185851005
44	0.6181616619
45	0.6177529379
46	0.6175295298
47	0.6173699895
48	0.6171908779
49	0.6170527988
50	0.6169037453
51	0.6167655297
52	0.6166830209
53	0.6166007615
54	0.6165584265
55	0.6164978805
56	0.6163175536
57	0.616241033
58	0.6159945865
59	0.6159433676
60	0.6158724249
61	0.61578485
62	0.6157068341
63	0.61558292
64	0.6153741094
65	0.6153166711
66	0.6151452643
67	0.6151040919
68	0.6150441162
69	0.6148905787
70	0.6148424448
71	0.6147235692
72	0.6146390878
73	0.6146176449
74	0.6145894499
75	0.6144531027
76	0.6144531012
77	0.6142236325
78	0.6141458577
79	0.6141436418
80	0.6139994819
81	0.6139918226
82	0.6138855725
83	0.6138477536
84	0.6138083908
85	0.6137994294
86	0.613760545
87	0.613723973
88	0.6137110201
89	0.6137031275
90	0.6136632196
91	0.6136278682
92	0.6136156212
93	0.6135623941
94	0.6133357756
95	0.6133174093
96	0.6132931807
97	0.6132498911
98	0.613130371
99	0.6130361286
100	0.6130312701
101	0.6130294393
102	0.6130107726
103	0.612900192
104	0.6128644812
105	0.6128259323
106	0.6128165382
107	0.6128165382
108	0.6128121239
109	0.6126992966
110	0.6126697724
111	0.6126618845
112	0.6126224867
113	0.6126209427
114	0.6126112353
115	0.6125946305
116	0.6125230515
117	0.6125197693
118	0.6124799715
119	0.6124003123
120	0.6124000084
121	0.6123803423
122	0.6123755963
123	0.612337648
124	0.6123058482
125	0.6122965621
126	0.6122785211
127	0.612211035
128	0.6121736451
129	0.6121665296
130	0.6121541984
131	0.6120752188
132	0.6119665938
133	0.6118483398
134	0.6118359012
135	0.6117840557
136	0.6117569066
137	0.6117323402
138	0.6116748528
139	0.6116506765
140	0.6116346445
141	0.6116321263
142	0.6116321262
143	0.6116274814
144	0.6116239634
145	0.6116205904
146	0.6115473165
147	0.6115473165
148	0.611529128
149	0.6115087078
150	0.6114500918
151	0.6114249057
152	0.6114154359
153	0.6113993612
154	0.6113887367
155	0.6113868585
156	0.6113273457
157	0.6113192533
158	0.6113192532
159	0.6112849751
160	0.6112610073
161	0.6112434893
162	0.611228213
163	0.6112175492
164	0.6111969262
165	0.6111530074
166	0.6111156919
167	0.6110894637
168	0.6110741681
169	0.611070848
170	0.6110610609
171	0.6110253066
172	0.6109836695
173	0.6109814985
174	0.6109135517
175	0.6108921156
176	0.6108525617
177	0.6108402904
178	0.6108202864
179	0.6108123991
180	0.6108093987
181	0.6107928575
182	0.6107928575
183	0.6107718387
184	0.6107412161
185	0.6107307854
186	0.6106706953
187	0.6106276643
188	0.6105972755
189	0.6105428715
190	0.6104051476
191	0.610338533
192	0.6103337006
193	0.6103098074
194	0.6103098073
195	0.6103012115
196	0.6102773188
197	0.6102626062
198	0.6102626062
199	0.6102626061
200	0.6102026776
201	0.6101969074
202	0.6101654014
203	0.6101132966
204	0.610080751
205	0.610061121
206	0.610035638
207	0.6100232347
208	0.6099932833
209	0.6099484218
210	0.6099352088
211	0.609902351
212	0.6098370604
213	0.6097941652
214	0.6097556267
215	0.6097361622
216	0.6096935684
217	0.6096469023
218	0.6095925794
219	0.6095831848
220	0.6095404807
221	0.6095397957
222	0.6094782153
223	0.6094305831
224	0.6093902603
225	0.6093425733
226	0.6093162148
227	0.6092878647
228	0.6092671195
229	0.6092526244
230	0.6092024631
231	0.6091790631
232	0.6091594441
233	0.6091577282
234	0.6091215223
235	0.6090821265
236	0.6090431905
237	0.6090125653
238	0.6089685232
239	0.6088950669
240	0.6088027358
241	0.6087119925
242	0.6086697294
243	0.6086002825
244	0.6085639721
245	0.6085048762
246	0.6084614018
247	0.6084161827
248	0.6082926155
249	0.6081660512
250	0.6081071784
251	0.6080102934
252	0.6079865945
253	0.6079458793
254	0.6078869559
255	0.6078192266
256	0.6077866286
257	0.6077568062
258	0.6077409395
259	0.6077198561
260	0.6076560876
261	0.6075946671
262	0.6075646546
263	0.6075233624
264	0.6074718346
265	0.6074214752
266	0.6073684653
267	0.6073289213
268	0.6073084584
269	0.6072796612
270	0.6072488763
271	0.6072255794
272	0.6071221965
273	0.6070503772
274	0.6069968166
275	0.6069577997
276	0.6069306218
277	0.606867801
278	0.6068130025
279	0.6067695479
280	0.6067442151
281	0.606709609
282	0.6067045638
283	0.6066706922
284	0.6066165651
285	0.6065746478
286	0.606558879
287	0.6065331998
288	0.6064240061
289	0.6064085495
290	0.6063625948
291	0.6063428225
292	0.6062838472
293	0.6062339732
294	0.6062248543
295	0.6062129125
296	0.6061377914
297	0.6060718071
298	0.6060369827
299	0.605962231
300	0.6058996285
301	0.6058848851
302	0.6057904013
303	0.6057512503
304	0.605707111
305	0.605583054
306	0.6055426581
307	0.6054826923
308	0.6054292207
309	0.6053762142
310	0.6053332997
311	0.6052796704
312	0.6052541075
313	0.6051717618
314	0.6051033016
315	0.6049960418
316	0.6049539466
317	0.6049136345
318	0.6048145897
319	0.6047957514
320	0.6047708338
321	0.6046986079
322	0.604627888
323	0.604504912
324	0.6044908085
325	0.6044599743
326	0.604384445
327	0.6043600719
328	0.6042693815
329	0.6042430636
330	0.6041998817
331	0.6041934574
332	0.604162221
333	0.604140953
334	0.6040579533
335	0.6040129231
336	0.6039906668
337	0.6038798094
338	0.6038009877
339	0.6037320384
340	0.6037111054
341	0.6036686626
342	0.6036094541
343	0.6035340729
344	0.6034614507
345	0.6034342671
346	0.6033976258
347	0.6033309037
348	0.6032883586
349	0.6032319522
350	0.6032193836
351	0.6031985363
352	0.6031431643
353	0.6031112081
354	0.6031061861
355	0.6030630648
356	0.6029954372
357	0.6029450175
358	0.6029235848
359	0.6028919877
360	0.6028279077
361	0.6027734344
362	0.6027088689
363	0.6026301187
364	0.6026070136
365	0.6025491671
366	0.6024846629
367	0.602444386
368	0.6023818048
369	0.602338671
370	0.6022807591
371	0.6022409127
372	0.6022106648
373	0.602150876
374	0.6021234414
375	0.6020482783
376	0.6020227604
377	0.6019668688
378	0.6018660238
379	0.6018461519
380	0.6018249652
381	0.6017468104
382	0.6017077698
383	0.60168019
384	0.6015484923
385	0.601464158
386	0.6014064067
387	0.6013784667
388	0.6013494673
389	0.6013294296
390	0.6013076424
391	0.6012785314
392	0.6012665243
393	0.6012298324
394	0.6011894972
395	0.6011309549
396	0.6011064023
397	0.6010847351
398	0.6010547368
399	0.6010135201
400	0.6009172761
401	0.6008184802
402	0.6007654509
403	0.600696573
404	0.6006501299
405	0.6005456436
406	0.6004581719
407	0.600402845
408	0.6003718198
409	0.6003432517
410	0.6003004854
411	0.6002914876
412	0.6002616957
413	0.6002223397
414	0.600208953
415	0.6001596827
416	0.6000667128
417	0.6000390747
418	0.6000140465
419	0.5999597483
420	0.5999106449
421	0.5998580581
422	0.5997610804
423	0.5997319046
